Temperature - (Celsius),Year,Statistics,Country,ISO3
27.76,1901,Jan Average,Australia,AUS
27.16,1901,Feb Average,Australia,AUS
25.6,1901,Mar Average,Australia,AUS
22.03,1901,Apr Average,Australia,AUS
18.02,1901,May Average,Australia,AUS
14.7,1901,Jun Average,Australia,AUS
13.94,1901,Jul Average,Australia,AUS
15.45,1901,Aug Average,Australia,AUS
19.35,1901,Sep Average,Australia,AUS
22.84,1901,Oct Average,Australia,AUS
26.06,1901,Nov Average,Australia,AUS
26.58,1901,Dec Average,Australia,AUS
27.96,1902,Jan Average,Australia,AUS
27.28,1902,Feb Average,Australia,AUS
25.75,1902,Mar Average,Australia,AUS
21.63,1902,Apr Average,Australia,AUS
17.39,1902,May Average,Australia,AUS
14.53,1902,Jun Average,Australia,AUS
13.5,1902,Jul Average,Australia,AUS
15.62,1902,Aug Average,Australia,AUS
18.7,1902,Sep Average,Australia,AUS
22.08,1902,Oct Average,Australia,AUS
24.99,1902,Nov Average,Australia,AUS
25.85,1902,Dec Average,Australia,AUS
26.79,1903,Jan Average,Australia,AUS
26.19,1903,Feb Average,Australia,AUS
24.49,1903,Mar Average,Australia,AUS
21.79,1903,Apr Average,Australia,AUS
17.77,1903,May Average,Australia,AUS
14.23,1903,Jun Average,Australia,AUS
13.79,1903,Jul Average,Australia,AUS
15.57,1903,Aug Average,Australia,AUS
18.47,1903,Sep Average,Australia,AUS
21.99,1903,Oct Average,Australia,AUS
25.41,1903,Nov Average,Australia,AUS
27.68,1903,Dec Average,Australia,AUS
28.17,1904,Jan Average,Australia,AUS
26.46,1904,Feb Average,Australia,AUS
25.4,1904,Mar Average,Australia,AUS
22.11,1904,Apr Average,Australia,AUS
18.38,1904,May Average,Australia,AUS
14.61,1904,Jun Average,Australia,AUS
13.64,1904,Jul Average,Australia,AUS
15.01,1904,Aug Average,Australia,AUS
17.51,1904,Sep Average,Australia,AUS
20.92,1904,Oct Average,Australia,AUS
25.27,1904,Nov Average,Australia,AUS
27.87,1904,Dec Average,Australia,AUS
29.22,1905,Jan Average,Australia,AUS
28.63,1905,Feb Average,Australia,AUS
24.91,1905,Mar Average,Australia,AUS
23.09,1905,Apr Average,Australia,AUS
18.78,1905,May Average,Australia,AUS
16.13,1905,Jun Average,Australia,AUS
14.68,1905,Jul Average,Australia,AUS
15.9,1905,Aug Average,Australia,AUS
18.56,1905,Sep Average,Australia,AUS
22.54,1905,Oct Average,Australia,AUS
24.17,1905,Nov Average,Australia,AUS
26.9,1905,Dec Average,Australia,AUS
27.11,1906,Jan Average,Australia,AUS
26.92,1906,Feb Average,Australia,AUS
24.54,1906,Mar Average,Australia,AUS
21.16,1906,Apr Average,Australia,AUS
17.85,1906,May Average,Australia,AUS
14.88,1906,Jun Average,Australia,AUS
14.06,1906,Jul Average,Australia,AUS
15.93,1906,Aug Average,Australia,AUS
19.02,1906,Sep Average,Australia,AUS
22.99,1906,Oct Average,Australia,AUS
24.58,1906,Nov Average,Australia,AUS
26.49,1906,Dec Average,Australia,AUS
28.22,1907,Jan Average,Australia,AUS
26.68,1907,Feb Average,Australia,AUS
24.31,1907,Mar Average,Australia,AUS
21.55,1907,Apr Average,Australia,AUS
17.42,1907,May Average,Australia,AUS
13.02,1907,Jun Average,Australia,AUS
13.28,1907,Jul Average,Australia,AUS
14.81,1907,Aug Average,Australia,AUS
17.51,1907,Sep Average,Australia,AUS
21.34,1907,Oct Average,Australia,AUS
25.54,1907,Nov Average,Australia,AUS
27.33,1907,Dec Average,Australia,AUS
26.99,1908,Jan Average,Australia,AUS
26.54,1908,Feb Average,Australia,AUS
25.25,1908,Mar Average,Australia,AUS
20.63,1908,Apr Average,Australia,AUS
17.29,1908,May Average,Australia,AUS
15.07,1908,Jun Average,Australia,AUS
13.07,1908,Jul Average,Australia,AUS
15.85,1908,Aug Average,Australia,AUS
18.49,1908,Sep Average,Australia,AUS
22.75,1908,Oct Average,Australia,AUS
24.84,1908,Nov Average,Australia,AUS
